ID;Civilité;Prénom;Nom;Email;Téléphone;Adresse;Commune;Code Postal;Statut;Tranche âge;Besoin identifié;Segment emailing;Score priorité;Statut campagne;Email envoyé;Ouvert;Cliqué;Répondu;Notes
LEAD-062;Mme;Charlotte;Muller;muller.charlotte@outlook.com;06 87 73 46 39;78 Boulevard de la Paix, 69002 Lyon 2ème;Lyon 2ème;69002;Propriétaire appartement;50-60 ans;Banquette sur mesure;Aménagement rangement;93;À contacter;Non;;;;
LEAD-075;Mme;Delphine;Schmitt;d.schmitt@free.fr;06 83 74 37 29;85 Route de la Paix, 69007 Lyon 7ème;Lyon 7ème;69007;Propriétaire maison ancienne;55-65 ans;Placards encastrés;Rénovation intérieure;93;À contacter;Non;;;;
LEAD-094;Mme;Sandrine;Baron;sandrine.baron@free.fr;07 70 99 27 70;58 Passage de la République, 69290 Grézieu-la-Varenne;Grézieu-la-Varenne;69290;Propriétaire maison;50-60 ans;Création dressing sur mesure;Sur mesure / dressing;93;À contacter;Non;;;;
LEAD-227;M.;Sébastien;Perrot;sebastienperrot@laposte.net;07 23 75 89 25;37 Avenue des Lilas, 69220 Belleville-en-Beaujolais;Belleville-en-Beaujolais;69220;Propriétaire appartement;45-55 ans;Habillage mural bois;Parquet & sol bois;93;À contacter;Non;;;;
LEAD-256;M.;Daniel;Moulin;danielmoulin@free.fr;07 50 64 31 10;41 Impasse de la Paix, 69290 Pollionnay;Pollionnay;69290;Propriétaire duplex;60-70 ans;Étagères murales sur mesure;Parquet & sol bois;93;À contacter;Non;;;;
LEAD-038;Mme;Nicole;Michel;nicole.michel@free.fr;06 54 78 64 94;48 Avenue du Panorama, 69890 La Tour-de-Salvagny;La Tour-de-Salvagny;69890;Propriétaire maison ancienne;30-40 ans;Banquette sur mesure;Menuiseries extérieures;92;À contacter;Non;;;;
LEAD-050;Mme;Monique;Marchand;marchand.monique@outlook.com;07 83 15 32 70;67 Route de Lyon, 69250 Montanay;Montanay;69250;Propriétaire maison de village;60-70 ans;Restauration volets bois;Aménagement rangement;92;À contacter;Non;;;;
LEAD-117;M.;Christian;Collet;christian.collet4@laposte.net;07 93 84 83 39;93 Rue des Noyers, 69870 Lamure-sur-Azergues;Lamure-sur-Azergues;69870;Propriétaire appartement;60-70 ans;Habillage mural bois;Sur mesure / dressing;92;À contacter;Non;;;;
LEAD-120;Mme;Nicole;Muller;n.muller@free.fr;06 98 72 50 71;45 Montée de Lyon, 69270 Fontaines-Saint-Martin;Fontaines-Saint-Martin;69270;Propriétaire maison;60-70 ans;Parquet chêne collé;Menuiseries extérieures;92;À contacter;Non;;;;
LEAD-141;M.;Guillaume;Caron;caron.guillaume@hotmail.fr;07 31 27 79 72;24 Montée du Pré, 69380 Dommartin;Dommartin;69380;Propriétaire maison de village;30-40 ans;Pose parquet massif;Rénovation intérieure;92;À contacter;Non;;;;
LEAD-153;Mme;Claire;Roux;claireroux@free.fr;07 50 32 60 50;38 Route de la Source, 69470 Cours;Cours;69470;Propriétaire maison ancienne;60-70 ans;Porte d'entrée bois sur mesure;Parquet & sol bois;92;À contacter;Non;;;;
LEAD-210;M.;Didier;Robert;didier59@wanadoo.fr;07 14 60 52 98;31 Rue du 8 Mai 1945, 69330 Meyzieu;Meyzieu;69330;Propriétaire maison ancienne;30-40 ans;Rénovation escalier bois;Parquet & sol bois;92;À contacter;Non;;;;
LEAD-274;M.;Laurent;Laurent;laurent.laurent46@sfr.fr;07 85 35 76 11;95 Avenue de la Gare, 69170 Tarare;Tarare;69170;Propriétaire maison ancienne;55-65 ans;Restauration parquet ancien;Parquet & sol bois;92;À contacter;Non;;;;
LEAD-275;Mme;Claire;Dupont;c.dupont@sfr.fr;06 62 74 23 81;10 Montée du Commerce, 69460 Vaux-en-Beaujolais;Vaux-en-Beaujolais;69460;Propriétaire maison;50-60 ans;Bibliothèque sur mesure;Restauration / ancien;92;À contacter;Non;;;;
LEAD-289;Mme;Élisabeth;Girard;e.girard@gmail.com;07 69 79 44 80;57 Chemin Jean Moulin, 69004 Lyon 4ème;Lyon 4ème;69004;Propriétaire appartement;65-75 ans;Restauration parquet ancien;Aménagement rangement;92;À contacter;Non;;;;
LEAD-005;Mme;Nicole;Morel;morel.nicole@sfr.fr;06 97 51 17 39;106 Rue des Cerisiers, 69640 Denicé;Denicé;69640;Propriétaire maison ancienne;35-45 ans;Pose de portes intérieures;Sur mesure / dressing;91;À contacter;Non;;;;
LEAD-022;Mme;Christelle;Richard;christellerichard@sfr.fr;06 95 23 55 81;114 Place Antoine de Saint-Exupéry, 69870 Lamure-sur-Azergues;Lamure-sur-Azergues;69870;Propriétaire appartement;45-55 ans;Porte coulissante sur mesure;Sur mesure / dressing;91;À contacter;Non;;;;
LEAD-099;Mme;Brigitte;Henry;b.henry@gmail.com;06 57 65 61 66;115 Place du Beaujolais, 69400 Gleizé;Gleizé;69400;Propriétaire villa;65-75 ans;Restauration volets bois;Parquet & sol bois;91;À contacter;Non;;;;
LEAD-155;Mme;Véronique;Baron;veronique78@sfr.fr;07 84 61 78 74;119 Place des Champs, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire loft;55-65 ans;Pose parquet massif;Aménagement rangement;91;À contacter;Non;;;;
LEAD-182;Mme;Michèle;Marchand;michele97@gmail.com;06 15 11 41 15;61 Boulevard du Lavoir, 69380 Lozanne;Lozanne;69380;Propriétaire appartement;30-40 ans;Remplacement fenêtres bois;Restauration / ancien;91;À contacter;Non;;;;
LEAD-241;M.;Marc;Rey;marcrey@orange.fr;07 24 55 81 71;75 Passage de la Colline, 69400 Arnas;Arnas;69400;Propriétaire villa;50-60 ans;Étagères murales sur mesure;Menuiseries extérieures;91;À contacter;Non;;;;
LEAD-282;M.;François;Gérard;francoisgerard@yahoo.fr;06 22 44 40 81;56 Place du Château, 69170 Tarare;Tarare;69170;Propriétaire loft;40-50 ans;Remplacement fenêtres bois;Menuiseries extérieures;91;À contacter;Non;;;;
LEAD-285;M.;Jean-Marc;André;jeanmarc93@sfr.fr;07 67 20 58 88;37 Route des Glycines, 69240 Thizy-les-Bourgs;Thizy-les-Bourgs;69240;Propriétaire loft;40-50 ans;Remplacement fenêtres bois;Aménagement rangement;91;À contacter;Non;;;;
LEAD-055;M.;Christian;Gauthier;gauthier.christian@wanadoo.fr;07 85 84 94 72;111 Chemin des Acacias, 69620 Chamelet;Chamelet;69620;Propriétaire villa;55-65 ans;Restauration parquet ancien;Parquet & sol bois;90;À contacter;Non;;;;
LEAD-068;Mme;Nicole;Fontaine;n.fontaine@sfr.fr;06 60 45 34 25;109 Route de la Gare, 69120 Vaulx-en-Velin;Vaulx-en-Velin;69120;Propriétaire appartement;30-40 ans;Plan de travail bois massif;Rénovation intérieure;90;À contacter;Non;;;;
LEAD-169;M.;Fabrice;Laurent;laurent.fabrice@hotmail.com;07 68 72 51 84;1 Avenue Émile Zola, 69910 Morgon;Morgon;69910;Propriétaire duplex;55-65 ans;Banquette sur mesure;Rénovation intérieure;90;À contacter;Non;;;;
LEAD-297;M.;David;Roy;david.roy@free.fr;06 24 40 91 65;42 Rue de la Mairie, 69510 Thurins;Thurins;69510;Propriétaire maison de village;35-45 ans;Rénovation escalier bois;Menuiseries extérieures;90;À contacter;Non;;;;
LEAD-029;Mme;Brigitte;Vincent;brigitte80@gmail.com;06 68 63 90 83;25 Place des Platanes, 69004 Lyon 4ème;Lyon 4ème;69004;Propriétaire appartement;40-50 ans;Pose de portes intérieures;Aménagement rangement;89;À contacter;Non;;;;
LEAD-083;M.;Jean-Claude;Mallet;mallet.jeanclaude@sfr.fr;06 40 23 28 42;26 Chemin Marcel Pagnol, 69230 Saint-Genis-Laval;Saint-Genis-Laval;69230;Propriétaire loft;35-45 ans;Remplacement fenêtres bois;Sur mesure / dressing;89;À contacter;Non;;;;
LEAD-091;Mme;Julie;Marchand;j.marchand@wanadoo.fr;07 39 78 40 49;104 Route du Château, 69380 Lozanne;Lozanne;69380;Propriétaire duplex;65-75 ans;Aménagement combles;Menuiseries extérieures;89;À contacter;Non;;;;
LEAD-181;M.;Pierre;Clément;p.clement@wanadoo.fr;06 73 68 75 56;8 Route de la Source, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire maison ancienne;40-50 ans;Restauration volets bois;Parquet & sol bois;89;À contacter;Non;;;;
LEAD-295;M.;Michel;Clément;michel.clement8@orange.fr;06 79 70 33 34;115 Allée du Lavoir, 69200 Vénissieux;Vénissieux;69200;Propriétaire maison;45-55 ans;Rénovation menuiseries intérieures;Menuiseries extérieures;89;À contacter;Non;;;;
LEAD-010;Mme;Michèle;Simon;michele98@hotmail.fr;06 26 94 70 80;22 Allée de la Côte, 69200 Vénissieux;Vénissieux;69200;Propriétaire villa;45-55 ans;Tête de lit sur mesure bois;Restauration / ancien;88;À contacter;Non;;;;
LEAD-058;M.;Vincent;Barbier;vincent.barbier81@free.fr;06 89 18 40 90;88 Allée de la Paix, 69840 Juliénas;Juliénas;69840;Propriétaire maison;60-70 ans;Porte coulissante sur mesure;Rénovation intérieure;88;À contacter;Non;;;;
LEAD-071;M.;Jean-Pierre;Rivière;jeanpierre64@yahoo.fr;06 94 76 48 68;83 Rue Jean Jaurès, 69300 Caluire-et-Cuire;Caluire-et-Cuire;69300;Propriétaire loft;60-70 ans;Habillage mural bois;Menuiseries extérieures;88;À contacter;Non;;;;
LEAD-140;Mme;Isabelle;Renard;isabelle66@orange.fr;07 47 29 35 52;30 Place de la Source, 69370 Saint-Didier-au-Mont-d'Or;Saint-Didier-au-Mont-d'Or;69370;Propriétaire villa;55-65 ans;Porte d'entrée bois sur mesure;Parquet & sol bois;88;À contacter;Non;;;;
LEAD-242;Mme;Sandrine;Thomas;sandrine.thomas@orange.fr;06 44 30 46 97;33 Chemin Jean Jaurès, 69840 Juliénas;Juliénas;69840;Propriétaire loft;50-60 ans;Étagères murales sur mesure;Sur mesure / dressing;88;À contacter;Non;;;;
LEAD-133;Mme;Patricia;Dupont;patricia.dupont5@gmail.com;06 40 36 18 22;77 Rue des Acacias, 69380 Lozanne;Lozanne;69380;Propriétaire duplex;30-40 ans;Tête de lit sur mesure bois;Sur mesure / dressing;87;À contacter;Non;;;;
LEAD-179;M.;Alexandre;Rey;alexandre.rey40@gmail.com;06 17 41 21 65;15 Route Antoine de Saint-Exupéry, 69510 Yzeron;Yzeron;69510;Propriétaire maison;50-60 ans;Tête de lit sur mesure bois;Aménagement rangement;87;À contacter;Non;;;;
LEAD-219;M.;Laurent;Guillot;laurent.guillot38@orange.fr;06 43 81 33 97;116 Boulevard du Pré, 69270 Fontaines-Saint-Martin;Fontaines-Saint-Martin;69270;Propriétaire appartement;55-65 ans;Création dressing sur mesure;Sur mesure / dressing;87;À contacter;Non;;;;
LEAD-229;M.;Jacques;Mallet;jacquesmallet@gmail.com;07 47 43 69 16;13 Chemin Victor Hugo, 69100 Villeurbanne;Villeurbanne;69100;Propriétaire maison ancienne;55-65 ans;Parquet chêne collé;Menuiseries extérieures;87;À contacter;Non;;;;
LEAD-087;M.;Laurent;Fontaine;l.fontaine@free.fr;06 90 92 52 18;43 Avenue Voltaire, 69430 Beaujeu;Beaujeu;69430;Propriétaire villa;50-60 ans;Plan de travail bois massif;Parquet & sol bois;86;À contacter;Non;;;;
LEAD-118;M.;Michel;Gaillard;michel.gaillard25@gmail.com;07 63 29 62 98;27 Place du Panorama, 69890 La Tour-de-Salvagny;La Tour-de-Salvagny;69890;Propriétaire maison de village;65-75 ans;Verrière bois;Aménagement rangement;86;À contacter;Non;;;;
LEAD-162;Mme;Christelle;Morin;christellemorin@wanadoo.fr;07 98 28 75 59;54 Passage du Stade, 69600 Oullins;Oullins;69600;Propriétaire villa;60-70 ans;Claustra / séparation bois;Sur mesure / dressing;86;À contacter;Non;;;;
LEAD-185;M.;Fabrice;Lambert;fabricelambert@outlook.fr;06 62 13 39 79;45 Rue du Beaujolais, 69380 Châtillon;Châtillon;69380;Propriétaire loft;60-70 ans;Rénovation menuiseries intérieures;Aménagement rangement;86;À contacter;Non;;;;
LEAD-211;M.;Pascal;Muller;p.muller@gmail.com;07 51 44 63 87;83 Avenue du Château, 69620 Theizé;Theizé;69620;Propriétaire appartement;60-70 ans;Rénovation cuisine bois;Aménagement rangement;86;À contacter;Non;;;;
LEAD-224;M.;Pascal;Roussel;p.roussel@hotmail.com;07 97 27 53 72;46 Impasse de la Mairie, 69460 Vaux-en-Beaujolais;Vaux-en-Beaujolais;69460;Propriétaire maison;45-55 ans;Pose de portes intérieures;Sur mesure / dressing;86;À contacter;Non;;;;
LEAD-264;Mme;Michèle;Rivière;michele.riviere@orange.fr;06 17 31 43 33;67 Place Marcel Pagnol, 69290 Craponne;Craponne;69290;Propriétaire duplex;30-40 ans;Claustra / séparation bois;Aménagement rangement;86;À contacter;Non;;;;
LEAD-265;M.;Marc;Simon;marc.simon78@yahoo.fr;06 38 62 86 28;102 Passage des Vignes, 69410 Champagne-au-Mont-d'Or;Champagne-au-Mont-d'Or;69410;Propriétaire duplex;50-60 ans;Tête de lit sur mesure bois;Sur mesure / dressing;86;À contacter;Non;;;;
LEAD-017;M.;Vincent;Garnier;vincent65@gmail.com;06 89 20 63 94;75 Passage de la Côte, 69910 Morgon;Morgon;69910;Propriétaire maison ancienne;45-55 ans;Bibliothèque sur mesure;Aménagement rangement;85;À contacter;Non;;;;
LEAD-098;M.;Frédéric;Rey;fredericrey@hotmail.fr;06 68 14 47 35;6 Impasse Victor Hugo, 69640 Denicé;Denicé;69640;Propriétaire maison ancienne;60-70 ans;Bibliothèque sur mesure;Restauration / ancien;85;À contacter;Non;;;;
LEAD-168;M.;Christophe;Hubert;c.hubert@wanadoo.fr;06 96 60 72 28;74 Allée des Glycines, 69160 Tassin-la-Demi-Lune;Tassin-la-Demi-Lune;69160;Propriétaire villa;65-75 ans;Meuble de rangement intégré;Rénovation intérieure;85;À contacter;Non;;;;
LEAD-288;M.;Didier;Giraud;didier75@gmail.com;06 23 43 89 29;11 Place de la Fontaine, 69007 Lyon 7ème;Lyon 7ème;69007;Propriétaire appartement;50-60 ans;Porte d'entrée bois sur mesure;Menuiseries extérieures;85;À contacter;Non;;;;
LEAD-036;Mme;Émilie;Martinez;emilie.martinez@gmail.com;06 35 12 89 29;31 Chemin du 8 Mai 1945, 69290 Grézieu-la-Varenne;Grézieu-la-Varenne;69290;Propriétaire maison;45-55 ans;Plan de travail bois massif;Menuiseries extérieures;84;À contacter;Non;;;;
LEAD-100;M.;Jacques;Colin;jacquescolin@gmail.com;07 51 23 20 51;85 Allée de la Fontaine, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire maison de village;60-70 ans;Rénovation cuisine bois;Sur mesure / dressing;84;À contacter;Non;;;;
LEAD-130;Mme;Marine;Gautier;gautier.marine@gmail.com;07 12 60 42 10;96 Impasse des Noyers, 69730 Genay;Genay;69730;Propriétaire maison;60-70 ans;Création dressing sur mesure;Parquet & sol bois;84;À contacter;Non;;;;
LEAD-239;M.;Philippe;Giraud;philippegiraud@outlook.com;06 26 23 59 94;77 Passage des Cerisiers, 69460 Odenas;Odenas;69460;Propriétaire villa;60-70 ans;Terrasse bois;Restauration / ancien;84;À contacter;Non;;;;
LEAD-101;Mme;Florence;Richard;f.richard@sfr.fr;06 19 95 91 61;47 Montée des Amandiers, 69380 Châtillon;Châtillon;69380;Propriétaire maison;40-50 ans;Restauration volets bois;Restauration / ancien;83;À contacter;Non;;;;
LEAD-172;Mme;Christine;Petit;petit.christine@laposte.net;06 64 93 21 22;1 Impasse du 8 Mai 1945, 69115 Chiroubles;Chiroubles;69115;Propriétaire appartement;45-55 ans;Création dressing sur mesure;Restauration / ancien;83;À contacter;Non;;;;
LEAD-174;M.;Jérôme;Roux;jerome83@orange.fr;06 88 93 31 66;45 Impasse des Glycines, 69510 Yzeron;Yzeron;69510;Propriétaire appartement;60-70 ans;Porte coulissante sur mesure;Restauration / ancien;83;À contacter;Non;;;;
LEAD-272;M.;Jean;Laurent;jean.laurent@hotmail.fr;06 43 38 57 20;78 Rue du Lavoir, 69110 Sainte-Foy-lès-Lyon;Sainte-Foy-lès-Lyon;69110;Propriétaire maison de village;50-60 ans;Pose de portes intérieures;Aménagement rangement;83;À contacter;Non;;;;
LEAD-280;M.;Christophe;Petit;christophe.petit@yahoo.fr;07 60 97 32 68;16 Montée Émile Zola, 69250 Neuville-sur-Saône;Neuville-sur-Saône;69250;Propriétaire duplex;30-40 ans;Bibliothèque sur mesure;Rénovation intérieure;83;À contacter;Non;;;;
LEAD-286;M.;Christian;Brun;christian.brun@outlook.com;06 53 39 50 50;84 Allée de Lyon, 69630 Chaponost;Chaponost;69630;Propriétaire duplex;60-70 ans;Tête de lit sur mesure bois;Parquet & sol bois;83;À contacter;Non;;;;
LEAD-003;Mme;Émilie;Maréchal;emilie79@gmail.com;06 58 20 80 47;107 Passage Saint-Antoine, 69400 Villefranche-sur-Saône;Villefranche-sur-Saône;69400;Propriétaire appartement;35-45 ans;Claustra / séparation bois;Rénovation intérieure;82;À contacter;Non;;;;
LEAD-024;M.;Olivier;Martinez;o.martinez@orange.fr;06 45 54 92 75;52 Montée du Beaujolais, 69004 Lyon 4ème;Lyon 4ème;69004;Propriétaire maison;50-60 ans;Rénovation menuiseries intérieures;Sur mesure / dressing;82;À contacter;Non;;;;
LEAD-228;M.;Éric;Lopez;eric.lopez@yahoo.fr;07 36 98 71 52;31 Rue de la République, 69380 Chazay-d'Azergues;Chazay-d'Azergues;69380;Propriétaire maison;35-45 ans;Plan de travail bois massif;Restauration / ancien;82;À contacter;Non;;;;
LEAD-247;Mme;Jacqueline;Gérard;gerard.jacqueline@sfr.fr;07 52 56 47 37;97 Passage de la Côte, 69800 Saint-Priest;Saint-Priest;69800;Propriétaire maison de village;30-40 ans;Habillage mural bois;Rénovation intérieure;82;À contacter;Non;;;;
LEAD-034;Mme;Dominique;Thomas;dominique.thomas86@free.fr;06 69 26 89 78;4 Place des Noyers, 69820 Fleurie;Fleurie;69820;Propriétaire duplex;30-40 ans;Claustra / séparation bois;Rénovation intérieure;81;À contacter;Non;;;;
LEAD-126;Mme;Charlotte;Charpentier;c.charpentier@orange.fr;06 10 43 59 40;58 Allée du Beaujolais, 69120 Vaulx-en-Velin;Vaulx-en-Velin;69120;Propriétaire maison de village;30-40 ans;Parquet chêne collé;Parquet & sol bois;81;À contacter;Non;;;;
LEAD-145;Mme;Pascale;Roche;pascaleroche@laposte.net;06 73 65 92 52;73 Avenue de la Côte, 69008 Lyon 8ème;Lyon 8ème;69008;Propriétaire appartement;45-55 ans;Pose parquet massif;Aménagement rangement;81;À contacter;Non;;;;
LEAD-193;Mme;Patricia;Masson;patricia91@yahoo.fr;06 90 79 12 58;101 Boulevard du 8 Mai 1945, 69130 Écully;Écully;69130;Propriétaire loft;65-75 ans;Restauration parquet ancien;Parquet & sol bois;81;À contacter;Non;;;;
LEAD-233;Mme;Élisabeth;Fabre;fabre.elisabeth@laposte.net;06 71 54 94 96;83 Place de l'Église, 69890 La Tour-de-Salvagny;La Tour-de-Salvagny;69890;Propriétaire maison de village;30-40 ans;Restauration parquet ancien;Rénovation intérieure;81;À contacter;Non;;;;
LEAD-292;Mme;Pascale;Lemaire;lemaire.pascale@wanadoo.fr;07 58 38 43 20;55 Impasse de la Côte, 69115 Chiroubles;Chiroubles;69115;Propriétaire loft;50-60 ans;Verrière bois;Parquet & sol bois;81;À contacter;Non;;;;
LEAD-004;Mme;Laurence;Simon;laurence.simon49@gmail.com;07 30 57 55 36;86 Allée Jean Moulin, 69570 Dardilly;Dardilly;69570;Propriétaire duplex;35-45 ans;Plan de travail bois massif;Restauration / ancien;80;À contacter;Non;;;;
LEAD-046;M.;Christian;Maréchal;christian99@laposte.net;07 67 66 48 85;55 Allée de la Source, 01600 Reyrieux;Reyrieux;01600;Propriétaire maison;35-45 ans;Tête de lit sur mesure bois;Sur mesure / dressing;80;À contacter;Non;;;;
LEAD-106;Mme;Charlotte;Baron;charlotte.baron68@hotmail.fr;06 26 50 92 19;58 Route des Amandiers, 69380 Lozanne;Lozanne;69380;Propriétaire maison ancienne;40-50 ans;Terrasse bois;Restauration / ancien;80;À contacter;Non;;;;
LEAD-178;Mme;Hélène;Boyer;helene90@sfr.fr;06 45 20 49 20;66 Impasse de l'Église, 69430 Régnié-Durette;Régnié-Durette;69430;Propriétaire maison ancienne;60-70 ans;Restauration parquet ancien;Restauration / ancien;80;À contacter;Non;;;;
LEAD-199;M.;Paul;Sanchez;p.sanchez@gmail.com;06 91 82 23 73;19 Boulevard Pasteur, 69730 Genay;Genay;69730;Propriétaire maison ancienne;55-65 ans;Porte d'entrée bois sur mesure;Sur mesure / dressing;80;À contacter;Non;;;;
LEAD-276;M.;David;Fabre;davidfabre@sfr.fr;07 68 97 68 85;111 Rue du 8 Mai 1945, 69460 Saint-Étienne-des-Oullières;Saint-Étienne-des-Oullières;69460;Propriétaire maison ancienne;35-45 ans;Placards encastrés;Menuiseries extérieures;80;À contacter;Non;;;;
LEAD-030;Mme;Sandrine;Denis;sandrine.denis90@orange.fr;06 81 41 25 68;18 Route de la Colline, 69370 Saint-Didier-au-Mont-d'Or;Saint-Didier-au-Mont-d'Or;69370;Propriétaire maison de village;55-65 ans;Terrasse bois;Menuiseries extérieures;79;À contacter;Non;;;;
LEAD-035;Mme;Agnès;Mercier;agnesmercier@wanadoo.fr;07 51 53 58 45;97 Place des Écoles, 69007 Lyon 7ème;Lyon 7ème;69007;Propriétaire villa;30-40 ans;Création dressing sur mesure;Aménagement rangement;79;À contacter;Non;;;;
LEAD-166;M.;Jérôme;Faure;j.faure@gmail.com;06 66 25 40 36;104 Passage Jean Moulin, 69470 Cours;Cours;69470;Propriétaire loft;60-70 ans;Aménagement combles;Sur mesure / dressing;79;À contacter;Non;;;;
LEAD-208;Mme;Véronique;Picard;veronique.picard@free.fr;07 81 60 80 51;110 Allée de la Côte, 69400 Villefranche-sur-Saône;Villefranche-sur-Saône;69400;Propriétaire loft;30-40 ans;Rénovation cuisine bois;Aménagement rangement;79;À contacter;Non;;;;
LEAD-231;M.;Mathieu;Roy;mathieuroy@laposte.net;06 30 23 63 85;62 Passage des Amandiers, 69840 Chénas;Chénas;69840;Propriétaire appartement;60-70 ans;Rénovation cuisine bois;Parquet & sol bois;79;À contacter;Non;;;;
LEAD-235;M.;Paul;Joly;paul.joly@hotmail.fr;07 93 12 23 61;53 Rue Voltaire, 69800 Saint-Priest;Saint-Priest;69800;Propriétaire maison;35-45 ans;Restauration parquet ancien;Restauration / ancien;79;À contacter;Non;;;;
